,returns
2018-01-03,-0.02357086
2018-01-04,-0.0094682025
2018-01-05,0.010125412
2018-01-08,0.0012570716
2018-01-09,-0.020616828
2018-01-10,-0.008696324
2018-01-11,0.018826367
2018-01-12,-0.0054791886
2018-01-16,-0.001623826
2018-01-17,0.021241087
2018-01-18,0.0010675957
2018-01-19,0.009910941
2018-01-22,0.014731123
2018-01-23,0.0047515477
2018-01-24,-0.008490128
2018-01-25,0.0012127699
2018-01-26,0.06663888
2018-01-29,-0.00528154
2018-01-30,-0.01818693
2018-01-31,-0.009510136
2018-02-01,-0.0060896347
2018-02-02,-0.025043417
2018-02-05,-0.036381867
2018-02-06,0.015696488
2018-02-07,0.0002867037
2018-02-08,-0.047383923
2018-02-09,0.021944303
2018-02-12,0.016949443
2018-02-13,-0.006649873
2018-02-14,0.02324395
2018-02-15,0.01197472
2018-02-16,-0.0052674212
2018-02-20,0.008666043
2018-02-21,-0.0031199083
2018-02-22,-0.002822706
2018-02-23,0.032189947
2018-02-26,0.019578002
2018-02-27,0.00598275
2018-02-28,-0.015564822
2018-03-01,-0.025119036
2018-03-02,0.023019584
2018-03-05,0.015268906
2018-03-06,0.015943727
2018-03-07,0.008710494
2018-03-08,-0.0043423534
2018-03-09,0.018807981
2018-03-12,-0.0088881655
2018-03-13,0.00087953126
2018-03-14,0.0015212672
2018-03-15,-0.013320895
2018-03-16,0.0072128065
2018-03-19,-0.0056249853
2018-03-20,0.010231402
2018-03-21,-0.0037467943
2018-03-22,-0.011204389
2018-03-23,-0.025437174
2018-03-26,0.046407852
2018-03-27,-0.017981216
2018-03-28,-0.015335553
2018-03-29,0.03334952
2018-04-02,-0.03649039
2018-04-03,0.011464338
2018-04-04,0.014215147
2018-04-05,-0.011067031
2018-04-06,-0.020483755
2018-04-09,0.0074682264
2018-04-10,0.021120831
2018-04-11,-0.007170982
2018-04-12,0.01472586
2018-04-13,-0.002042171
2018-04-16,0.0087949475
2018-04-17,0.0032014698
2018-04-18,-0.0025440457
2018-04-19,-0.017698864
2018-04-20,-0.0020143623
2018-04-23,-0.00626694
2018-04-24,-0.004931571
2018-04-25,0.0014410974
2018-04-26,0.01684896
2018-04-27,-0.014743564
2018-04-30,-0.02229035
2018-05-01,0.00885485
2018-05-02,-0.007863891
2018-05-03,-0.012578987
2018-05-04,0.017180704
2018-05-07,0.010775473
2018-05-08,0.0013249625
2018-05-09,0.007980555
2018-05-10,0.0121518
2018-05-11,-0.0010001723
2018-05-14,-0.00901038
2018-05-15,-0.021544948
2018-05-16,0.013758817
2018-05-17,0.012383124
2018-05-18,-0.011615802
2018-05-21,0.0069514383
2018-05-22,-0.003276012
2018-05-23,0.0068437736
2018-05-24,-0.0026193028
2018-05-25,-0.0043283054
2018-05-29,-0.0026415312
2018-05-30,0.00031289877
2018-05-31,-0.0211175
2018-06-01,0.0129901
2018-06-04,-0.0013920969
2018-06-05,0.0014747253
2018-06-06,0.0046712547
2018-06-07,0.007921396
2018-06-08,0.0063769077
2018-06-11,0.0065940293
2018-06-12,0.0014807651
2018-06-13,0.0053771557
2018-06-14,0.0018038562
2018-06-15,0.00594081
2018-06-18,-0.036660295
2018-06-19,-0.005637758
2018-06-20,-0.0053517865
2018-06-21,-0.020095795
2018-06-22,0.0022862814
2018-06-25,-0.015490105
2018-06-26,0.003340619
2018-06-27,-0.011489637
2018-06-28,-0.004193287
2018-06-29,0.00043243374
2018-07-02,-0.004868822
2018-07-03,-0.0010322729
2018-07-05,0.01580955
2018-07-06,0.0038093568
2018-07-09,0.0071686856
2018-07-10,-0.006918215
2018-07-11,-0.023669697
2018-07-12,0.012445279
2018-07-13,-0.004515062
2018-07-16,-0.008858068
2018-07-17,0.006892166
2018-07-18,-0.0034629512
2018-07-19,0.019116748
2018-07-20,0.009760762
2018-07-23,-0.0008611569
2018-07-24,0.011474622
2018-07-25,0.009628097
2018-07-26,-0.0012149507
2018-07-27,-0.01965436
2018-07-30,-0.009194967
2018-07-31,0.03779787
2018-08-01,0.0055985483
2018-08-02,0.012846754
2018-08-03,0.0423975
2018-08-06,0.00717206
2018-08-07,-0.008302424
2018-08-08,-0.010370094
2018-08-09,-0.009342107
2018-08-10,-0.005381331
2018-08-13,-0.0030245678
2018-08-14,0.0048006405
2018-08-15,-0.009732552
2018-08-16,0.0053074337
2018-08-17,0.007087744
2018-08-20,0.00043151597
2018-08-21,0.0047900598
2018-08-22,0.0021988477
2018-08-23,-9.011314e-05
2018-08-24,0.014401606
2018-08-27,0.0016325897
2018-08-28,0.0017835917
2018-08-29,0.008643909
2018-08-30,-0.0060045645
2018-08-31,0.004658136
2018-09-04,-0.007974444
2018-09-05,-0.0023831455
2018-09-06,0.00261424
2018-09-07,-0.004251295
2018-09-10,0.0025829852
2018-09-11,-0.0097446125
2018-09-12,0.002122129
2018-09-13,0.0072285496
2018-09-14,-0.00013400742
2018-09-17,-0.00592732
2018-09-18,-0.0038977873
2018-09-19,-0.001970855
2018-09-20,-0.019019954
2018-09-21,-0.004702476
2018-09-24,0.009431211
2018-09-25,-0.01653667
2018-09-26,-0.006779506
2018-09-27,0.010499117
2018-09-28,0.010905482
2018-10-01,-0.00734726
2018-10-02,0.015327078
2018-10-03,0.0053936015
2018-10-04,-0.013708765
2018-10-05,-0.002390583
2018-10-08,-0.0024078032
2018-10-09,-0.022198688
2018-10-10,-0.026860714
2018-10-11,-0.01874365
2018-10-12,0.015591089
2018-10-15,0.0014613564
2018-10-16,0.032910965
2018-10-17,-0.00030962023
2018-10-18,-0.02628962
2018-10-19,-0.015112821
2018-10-22,0.0073956395
2018-10-23,-0.009761831
2018-10-24,-0.033973463
2018-10-25,0.03315109
2018-10-26,0.012867482
2018-10-29,-0.0032788878
2018-10-30,0.034057155
2018-10-31,-0.006844406
2018-11-01,0.038924027
2018-11-02,0.003909678
