,returns
2018-01-03,0.0105260955
2018-01-04,0.0065224594
2018-01-05,0.0044559212
2018-01-08,0.010016775
2018-01-09,-0.0035086102
2018-01-10,0.0035585794
2018-01-11,0.010049256
2018-01-12,0.008696341
2018-01-16,-0.010245951
2018-01-17,0.021947263
2018-01-18,0.0035758666
2018-01-19,0.009981742
2018-01-22,0.0036390524
2018-01-23,0.005718056
2018-01-24,-0.006218385
2018-01-25,-0.0086244615
2018-01-26,0.012249627
2018-01-29,-0.015378364
2018-01-30,-0.0044029676
2018-01-31,0.0052683586
2018-02-01,-0.0074409544
2018-02-02,-0.011572136
2018-02-05,-0.030048557
2018-02-06,0.010902634
2018-02-07,-0.005540069
2018-02-08,-0.0343845
2018-02-09,0.011895969
2018-02-12,0.01347593
2018-02-13,0.005578667
2018-02-14,0.019601898
2018-02-15,0.014354245
2018-02-16,0.0009082982
2018-02-20,0.0046046013
2018-02-21,-0.024545461
2018-02-22,-0.033035524
2018-02-23,0.0067082783
2018-02-26,0.004589402
2018-02-27,-0.0059647975
2018-02-28,-0.007693725
2018-03-01,-0.003254667
2018-03-02,0.01152277
2018-03-05,0.0051803896
2018-03-06,0.005049983
2018-03-07,0.0033660687
2018-03-08,0.011498805
2018-03-09,0.015535444
2018-03-12,-0.0046398076
2018-03-13,-0.0022116445
2018-03-14,-0.006697008
2018-03-15,-0.0049682143
2018-03-16,0.0049437126
2018-03-19,-0.012300826
2018-03-20,0.0022841769
2018-03-21,-0.002594131
2018-03-22,-0.02121689
2018-03-23,-0.020825932
2018-03-26,0.021831457
2018-03-27,-0.014995971
2018-03-28,-0.0059185484
2018-03-29,0.014275162
2018-04-02,-0.032155927
2018-04-03,0.014898483
2018-04-04,0.015284786
2018-04-05,0.00676921
2018-04-06,-0.013519
2018-04-09,0.0045399694
2018-04-10,0.019038465
2018-04-11,0.0032515004
2018-04-12,0.013714123
2018-04-13,-0.005403742
2018-04-16,0.008656241
2018-04-17,0.0171195
2018-04-18,-0.0040005366
2018-04-19,-0.012865931
2018-04-20,-0.009265391
2018-04-23,-0.007036425
2018-04-24,0.0052029802
2018-04-25,-0.0034260731
2018-04-26,0.015466598
2018-04-27,-0.0003520415
2018-04-30,-0.0035848764
2018-05-01,0.009557633
2018-05-02,0.00960165
2018-05-03,-0.003997739
2018-05-04,0.008610023
2018-05-07,0.008550899
2018-05-08,0.004098135
2018-05-09,0.015225009
2018-05-10,0.0035620155
2018-05-11,0.0010447638
2018-05-14,-0.011412874
2018-05-15,-0.008296281
2018-05-16,0.003982333
2018-05-17,-0.0030017637
2018-05-18,-0.00087253004
2018-05-21,0.0011032776
2018-05-22,-0.0061182175
2018-05-23,0.004390205
