,returns
2018-01-03,-0.008800446
2018-01-04,0.019735942
2018-01-05,0.023150248
2018-01-08,-0.0023126465
2018-01-09,-0.0054708538
2018-01-10,-0.009241146
2018-01-11,0.008042551
2018-01-12,-0.0013331713
2018-01-16,0.0061434535
2018-01-17,0.011103906
2018-01-18,0.0024237323
2018-01-19,-0.0018860826
2018-01-22,0.010904395
2018-01-23,-0.0027969566
2018-01-24,0.0040648384
2018-01-25,0.02445285
2018-01-26,0.016506443
2018-01-29,0.011396382
2018-01-30,-0.021735808
2018-01-31,-0.008106962
2018-02-01,-0.010431548
2018-02-02,-0.033368237
2018-02-05,-0.030115483
2018-02-06,0.01477088
2018-02-07,0.0063219257
2018-02-08,-0.02514058
2018-02-09,-0.00017994735
2018-02-12,-0.0013527087
2018-02-13,0.00010799937
2018-02-14,0.013956069
2018-02-15,0.0122183375
2018-02-16,-0.0034210286
2018-02-20,-0.017046148
2018-02-21,-0.010891825
2018-02-22,0.008204009
2018-02-23,0.010493663
2018-02-26,0.003735311
2018-02-27,-0.00704782
2018-02-28,-0.0007085677
2018-03-01,-0.001025803
2018-03-02,0.0062806397
2018-03-05,0.003227068
2018-03-06,0.0028254404
2018-03-07,-0.012758571
2018-03-08,0.0012838675
2018-03-09,-0.026050512
2018-03-12,-0.0077959583
2018-03-13,-0.001974253
2018-03-14,-0.013104571
2018-03-15,-0.00951341
2018-03-16,-0.0021653182
2018-03-19,-0.011200429
2018-03-20,0.000543772
2018-03-21,-0.013642825
2018-03-22,-0.014792965
2018-03-23,-0.013816558
2018-03-26,0.012899434
2018-03-27,-0.010397401
2018-03-28,0.001303358
2018-03-29,0.008216115
2018-04-02,-0.022214111
2018-04-03,0.012790497
2018-04-04,0.020150369
2018-04-05,0.0038820333
2018-04-06,-0.016223736
2018-04-09,0.0035763616
2018-04-10,0.0030979384
2018-04-11,-0.0031850415
2018-04-12,0.0020023389
2018-04-13,-0.0032297985
2018-04-16,0.02738784
2018-04-17,0.014783564
2018-04-18,-0.004416583
2018-04-19,-0.016217552
2018-04-20,-0.014422575
2018-04-23,0.0054396256
2018-04-24,0.0072738407
2018-04-25,0.014031764
2018-04-26,0.013307093
2018-04-27,0.009800197
2018-04-30,-0.008278089
2018-05-01,-0.0153798135
2018-05-02,-0.024621494
2018-05-03,-0.027147522
2018-05-04,0.0101102535
2018-05-07,-0.007764667
2018-05-08,-0.009600263
2018-05-09,0.007959718
2018-05-10,0.01864174
2018-05-11,0.015266891
2018-05-14,0.019361626
2018-05-15,-0.0081681125
2018-05-16,0.0058963224
2018-05-17,-0.009394685
2018-05-18,-0.017616037
2018-05-21,0.0030096197
2018-05-22,-0.005075513
2018-05-23,0.0018821328
2018-05-24,0.0027871875
2018-05-25,0.0076148873
2018-05-29,-0.011324802
2018-05-30,0.015624423
2018-05-31,-0.03449247
2018-06-01,-0.006110701
2018-06-04,0.010364995
2018-06-05,-0.010321045
2018-06-06,0.021663275
2018-06-07,0.004267474
2018-06-08,0.016375009
2018-06-11,0.014473173
2018-06-12,-0.008083885
2018-06-13,0.012300258
2018-06-14,0.007456101
2018-06-15,0.006994242
2018-06-18,-0.017812554
2018-06-19,0.018711885
2018-06-20,0.004705111
2018-06-21,-0.00058301166
2018-06-22,0.008595379
2018-06-25,0.0016202093
2018-06-26,-0.0028278609
2018-06-27,-0.003133893
2018-06-28,-0.0061295913
2018-06-29,-0.0061635915
2018-07-02,-0.0053886217
2018-07-03,-0.015162607
2018-07-05,0.0031113646
2018-07-06,-0.00045662955
2018-07-09,0.012363388
2018-07-10,-0.0016428686
2018-07-11,-0.0043584947
2018-07-12,0.0061391885
2018-07-13,0.015247653
2018-07-16,-0.0049101836
2018-07-17,0.013419337
2018-07-18,0.008255617
2018-07-19,0.021096516
2018-07-20,-0.012516068
2018-07-23,0.005756293
2018-07-24,-0.008423919
2018-07-25,0.009122847
2018-07-26,0.009569032
2018-07-27,-0.019043658
2018-07-30,0.008456235
2018-07-31,-0.0037351015
2018-08-01,-0.0008488663
2018-08-02,0.034468874
2018-08-03,0.007785285
2018-08-06,0.022464097
2018-08-07,0.008333585
2018-08-08,0.010162566
2018-08-09,0.003271856
2018-08-10,-0.0035135527
2018-08-13,0.0008744205
2018-08-14,0.015188354
2018-08-15,-0.014628355
2018-08-16,0.0041368003
2018-08-17,0.015837053
2018-08-20,0.013583306
2018-08-21,-0.0062735584
2018-08-22,0.008450546
2018-08-23,0.0070737265
2018-08-24,0.0138375275
2018-08-27,-0.0146127185
2018-08-28,-0.0053022513
2018-08-29,0.0015179233
2018-08-30,-0.020255048
2018-08-31,-0.0841513
2018-09-04,-0.0057206643
2018-09-05,0.01728682
2018-09-06,0.010475403
2018-09-07,-0.017143482
2018-09-10,0.017345928
2018-09-11,-0.019309146
2018-09-12,-0.013547205
2018-09-13,-0.011655686
2018-09-14,0.0050764848
2018-09-17,-0.0058655115
2018-09-18,-0.00066362834
2018-09-19,-0.0037477396
2018-09-20,0.003419958
2018-09-21,0.00021379883
2018-09-24,-0.0073527773
2018-09-25,-0.008299839
2018-09-26,0.011100871
2018-09-27,-0.001768765
2018-09-28,0.0040354454
2018-10-01,0.0049796747
2018-10-02,-0.0033094252
2018-10-03,0.0042048204
2018-10-04,-0.002381503
2018-10-05,-0.0011510341
2018-10-08,0.01635364
2018-10-09,-0.007126325
2018-10-10,-0.0012825909
