,returns
2018-01-03,0.0037037083
2018-01-04,0.015991017
2018-01-05,0.0017232018
2018-01-08,-0.0068978015
2018-01-09,0.004194406
2018-01-10,0.005163347
2018-01-11,-0.0016877013
2018-01-12,0.0035064826
2018-01-16,-0.006502269
2018-01-17,0.005527311
2018-01-18,-0.007559971
2018-01-19,-0.014981052
2018-01-22,0.004211453
2018-01-23,-0.0031001267
2018-01-24,0.011893596
2018-01-25,0.0017881957
2018-01-26,0.0018922936
2018-01-29,-0.0041441554
2018-01-30,-0.008166915
2018-01-31,0.006676575
2018-02-01,0.0056993794
2018-02-02,-0.031424243
2018-02-05,-0.046090364
2018-02-06,0.019453932
2018-02-07,-0.005756216
2018-02-08,-0.053445924
2018-02-09,0.030550642
2018-02-12,0.031059673
2018-02-13,-0.0010468565
2018-02-14,0.018427275
2018-02-15,0.0023559178
2018-02-16,0.0024935794
2018-02-20,0.0022559431
2018-02-21,-0.00016248017
2018-02-22,0.0009655048
2018-02-23,0.01688635
2018-02-26,0.023374429
2018-02-27,-0.018882707
2018-02-28,-0.020567246
2018-03-01,-0.020783855
2018-03-02,0.0048269145
2018-03-05,0.009458016
2018-03-06,-0.0049411934
2018-03-07,-0.003913779
2018-03-08,0.00849251
2018-03-09,0.024490925
2018-03-12,-0.012673019
2018-03-13,-0.021001607
2018-03-14,-0.008021575
2018-03-15,-0.0012991725
2018-03-16,0.012032927
2018-03-19,-0.00933736
2018-03-20,0.0027365081
2018-03-21,0.0017878554
2018-03-22,-0.030751571
2018-03-23,-0.0075115906
2018-03-26,0.022843273
2018-03-27,-0.010455679
2018-03-28,0.007317183
2018-03-29,0.010785319
2018-04-02,-0.024614561
2018-04-03,0.027063625
2018-04-04,0.00016159867
2018-04-05,0.01264203
2018-04-06,-0.020916652
2018-04-09,0.013815387
2018-04-10,0.019775713
2018-04-11,0.0025506727
2018-04-12,0.0071924767
2018-04-13,0.014327159
2018-04-16,0.00976018
2018-04-17,0.008043941
2018-04-18,0.0037741135
2018-04-19,0.026753321
2018-04-20,-0.010961789
2018-04-23,-0.0029823862
2018-04-24,-0.0034163059
2018-04-25,-0.009214195
2018-04-26,0.022553232
2018-04-27,-0.018561786
2018-04-30,0.00147453
2018-05-01,0.00026931847
