,returns
2018-01-03,0.012553691
2018-01-04,0.0068668835
2018-01-05,0.00073590205
2018-01-08,0.011020709
2018-01-09,0.0034693857
2018-01-10,-0.006745294
2018-01-11,0.001106051
2018-01-12,-0.0037524928
2018-01-16,-0.0018745533
2018-01-17,0.020119388
2018-01-18,-0.00411244
2018-01-19,0.022547305
2018-01-22,0.004756048
2018-01-23,0.00756815
2018-01-24,-0.0036911715
2018-01-25,0.01028078
2018-01-26,0.0067976695
2018-01-29,-0.0034222913
2018-01-30,-0.0007326917
2018-01-31,-0.007417894
2018-02-01,-0.0028064211
2018-02-02,0.0010817521
2018-02-05,-0.018523645
2018-02-06,0.016492845
2018-02-07,-0.009974609
2018-02-08,-0.031592432
2018-02-09,0.020082574
2018-02-12,0.016448742
2018-02-13,0.0012060208
2018-02-14,0.019208271
2018-02-15,0.006039997
2018-02-16,0.0024085026
2018-02-20,-0.006421773
2018-02-21,0.0049316357
2018-02-22,0.002114466
2018-02-23,0.011203266
2018-02-26,0.006709406
2018-02-27,-0.016035017
2018-02-28,-0.009333651
2018-03-01,-0.0034860778
2018-03-02,0.01493239
2018-03-05,0.008329794
2018-03-06,0.011548893
2018-03-07,0.035325345
2018-03-08,0.0024970777
2018-03-09,0.0092406
2018-03-12,0.0052997405
2018-03-13,0.0033965528
2018-03-14,-0.003268069
2018-03-15,-0.004157699
2018-03-16,0.014724902
2018-03-19,-0.008136053
2018-03-20,0.012360478
2018-03-21,-0.0086783925
2018-03-22,-0.013469249
2018-03-23,-0.013373984
2018-03-26,0.031260386
2018-03-27,-0.00534312
2018-03-28,0.000171041
2018-03-29,0.019123826
2018-04-02,-0.0068350863
2018-04-03,0.022049075
2018-04-04,0.02878775
2018-04-05,-0.0035435706
2018-04-06,0.0008941702
2018-04-09,0.0015712363
2018-04-10,0.023917325
2018-04-11,0.011611527
2018-04-12,-0.0050757877
2018-04-13,0.002644319
2018-04-16,0.015210496
2018-04-17,0.014406053
2018-04-18,0.0019720318
2018-04-19,-0.0074973297
2018-04-20,-0.013011631
2018-04-23,0.0019620396
2018-04-24,0.0009916718
2018-04-25,-0.005926436
2018-04-26,0.008241105
2018-04-27,0.036873005
2018-04-30,-0.014106408
2018-05-01,0.00499566
2018-05-02,0.0037335758
2018-05-03,0.0057284776
2018-05-04,0.0013296963
2018-05-07,0.004176909
2018-05-08,0.014385275
2018-05-09,4.0805317e-05
2018-05-10,0.010284452
2018-05-11,-0.0013821098
2018-05-14,-0.0081271
2018-05-15,0.0024803593
2018-05-16,0.0043625194
2018-05-17,0.00073776604
2018-05-18,0.0014305384
2018-05-21,0.0060086027
2018-05-22,-0.012999568
2018-05-23,0.01267291
2018-05-24,0.0035967599
2018-05-25,-0.003471177
2018-05-29,0.01815755
2018-05-30,0.019646984
2018-05-31,-0.0053968485
2018-06-01,0.0031168303
2018-06-04,0.021539949
2018-06-05,-0.0042585824
2018-06-06,-0.0030742085
2018-06-07,-0.015176544
2018-06-08,0.017299274
2018-06-11,0.007405357
2018-06-12,0.019412935
2018-06-13,-0.0014596013
2018-06-14,0.014684929
2018-06-15,0.006704348
2018-06-18,-0.0030361027
2018-06-19,-0.006237358
2018-06-20,0.01453293
2018-06-21,0.01571904
2018-06-22,0.014853261
2018-06-25,0.0035074647
2018-06-26,0.00043748063
2018-06-27,-0.006860201
2018-06-28,0.008237021
2018-06-29,0.004526513
2018-07-02,-0.001230397
2018-07-03,0.00202597
2018-07-05,0.004859332
2018-07-06,0.005116998
2018-07-09,0.011501579
2018-07-10,0.0036384873
2018-07-11,-0.011965003
2018-07-12,0.011437516
2018-07-13,0.0060638264
2018-07-16,-0.0016108083
2018-07-17,0.00855797
2018-07-18,0.0041287085
2018-07-19,0.0017963317
2018-07-20,-0.0018511068
2018-07-23,-0.008437587
2018-07-24,0.008391429
2018-07-25,0.009960873
2018-07-26,0.008646822
2018-07-27,-0.010384783
2018-07-30,-0.0039652437
2018-07-31,0.010175628
2018-08-01,0.012788463
2018-08-02,0.04137472
2018-08-03,0.0028663904
2018-08-06,-0.0019229983
2018-08-07,0.012296187
2018-08-08,-0.0014682123
2018-08-09,-0.0041232705
2018-08-10,-0.0056721563
2018-08-13,-0.0044164723
2018-08-14,0.009538885
2018-08-15,-0.01150426
2018-08-16,0.00896626
2018-08-17,0.0037833718
2018-08-20,0.0034135026
2018-08-21,0.0038496717
2018-08-22,-0.0029416154
2018-08-23,-0.002337013
2018-08-24,0.008399727
2018-08-27,0.009417036
2018-08-28,0.00373701
2018-08-29,0.007469338
2018-08-30,0.004631863
2018-08-31,0.0017492177
2018-09-04,0.003540236
2018-09-05,0.009245195
2018-09-06,0.007589073
2018-09-07,-0.0034981559
2018-09-10,0.007780899
2018-09-11,0.0012398856
2018-09-12,0.0032338924
2018-09-13,0.007284902
2018-09-14,0.004313539
2018-09-17,-0.004779616
2018-09-18,0.002401799
2018-09-19,0.0047023557
2018-09-20,0.0029623418
2018-09-21,0.005926705
2018-09-24,-0.0023402236
2018-09-25,-0.008662116
2018-09-26,-0.0053753126
2018-09-27,0.00089559285
2018-09-28,0.023990422
2018-10-01,-0.010357833
2018-10-02,0.009377215
2018-10-03,-0.0004985784
2018-10-04,0.0045081857
2018-10-05,0.008325314
2018-10-08,0.009257698
2018-10-09,0.0067908275
2018-10-10,-0.0013380009
2018-10-11,-0.021453839
2018-10-12,-0.0106748445
2018-10-15,0.008043907
2018-10-16,0.020651586
2018-10-17,0.0034982958
2018-10-18,0.0012538086
2018-10-19,0.014820992
2018-10-22,0.0008686464
2018-10-23,-0.012523452
2018-10-24,0.0074885776
2018-10-25,-0.0049191774
2018-10-26,-0.007644695
2018-10-29,0.009009376
2018-10-30,0.013738066
2018-10-31,-0.01894186
2018-11-01,0.00673014
2018-11-02,-0.0020505039
2018-11-05,0.021460041
2018-11-06,0.014270504
2018-11-07,0.01456311
2018-11-08,-0.0034390907
2018-11-09,0.0030382725
2018-11-12,-0.0031761813
2018-11-13,-0.0023245858
2018-11-14,-0.0056605837
2018-11-15,0.011975297
2018-11-16,0.012133718
2018-11-19,-0.0009981038
