,returns
2018-01-03,-0.00015307311
2018-01-04,0.0014432925
2018-01-05,0.014557178
2018-01-08,0.0044859764
2018-01-09,-0.018809326
2018-01-10,-0.012858253
2018-01-11,0.024599664
2018-01-12,0.0055980845
2018-01-16,-0.009666247
2018-01-17,0.0062267473
2018-01-18,-0.009457504
2018-01-19,0.0043919464
2018-01-22,0.0070207985
2018-01-23,-0.018261123
2018-01-24,-0.0009141762
2018-01-25,-0.012700679
2018-01-26,0.040959097
2018-01-29,-0.0016315535
2018-01-30,-0.017223433
2018-01-31,-0.00342042
2018-02-01,0.017335461
2018-02-02,-0.060525343
2018-02-05,-0.037241876
2018-02-06,0.016638303
2018-02-07,-0.011067754
2018-02-08,-0.017670829
2018-02-09,-0.02741656
2018-02-12,0.007376825
2018-02-13,-0.017514443
2018-02-14,0.027457774
2018-02-15,0.014569485
2018-02-16,0.0039033005
2018-02-20,0.012203422
2018-02-21,-0.0052493205
2018-02-22,0.00016374432
2018-02-23,0.018753443
2018-02-26,0.016617488
2018-02-27,-0.0031088116
2018-02-28,-0.011697442
2018-03-01,-0.012032559
2018-03-02,0.015178223
2018-03-05,0.021303702
2018-03-06,0.011427115
2018-03-07,0.015094617
2018-03-08,-0.008612227
2018-03-09,0.021449469
2018-03-12,0.0027754558
2018-03-13,-0.0066670524
2018-03-14,-0.0016849884
2018-03-15,-0.0039804764
2018-03-16,0.0019065288
2018-03-19,-0.009577524
2018-03-20,0.009957232
2018-03-21,0.0015248109
2018-03-22,-0.027600402
2018-03-23,-0.031440757
2018-03-26,0.042535473
2018-03-27,-0.021345451
2018-03-28,-0.018353896
2018-03-29,0.027299194
2018-04-02,-0.052278217
2018-04-03,0.018699482
2018-04-04,0.0056307297
2018-04-05,0.007666664
2018-04-06,-0.026537508
2018-04-09,0.016472954
2018-04-10,0.032506496
2018-04-11,-0.0067395754
2018-04-12,0.021902641
2018-04-13,-0.012400745
2018-04-16,0.010344282
2018-04-17,0.018169994
2018-04-18,0.0039551924
2018-04-19,-0.020752389
2018-04-20,-0.008204231
2018-04-23,-0.015290581
2018-04-24,0.0054668076
2018-04-25,-0.0022422213
