,returns
2018-01-03,-0.009734702
2018-01-04,-0.003309382
2018-01-05,-0.0009872115
2018-01-08,0.018634982
2018-01-09,0.01124154
2018-01-10,-0.017015612
2018-01-11,0.014360859
2018-01-12,0.0034129734
2018-01-16,0.0125304265
2018-01-17,-0.0078215115
2018-01-18,-0.000691614
2018-01-19,0.010411012
2018-01-22,0.008663408
2018-01-23,0.0011887006
2018-01-24,0.004328536
2018-01-25,0.0016658953
2018-01-26,0.013005678
2018-01-29,0.0026271665
2018-01-30,-0.03819464
2018-01-31,-0.0072617345
2018-02-01,-0.0023951787
2018-02-02,-0.014810175
2018-02-05,-0.04920479
2018-02-06,0.015846847
2018-02-07,-0.003258806
2018-02-08,-0.041952755
2018-02-09,0.007334098
2018-02-12,-0.002084465
2018-02-13,0.022237184
2018-02-14,0.004085684
2018-02-15,-0.0081160255
2018-02-16,0.01096208
2018-02-20,-0.008671214
2018-02-21,0.011253769
2018-02-22,-0.0073396284
2018-02-23,0.0017805474
2018-02-26,0.01251352
2018-02-27,-0.018232498
2018-02-28,-0.013985755
2018-03-01,-0.06710086
2018-03-02,0.021478659
2018-03-05,-0.009304527
2018-03-06,-0.00013071136
2018-03-07,0.009004058
2018-03-08,-0.0049308194
2018-03-09,0.029449219
2018-03-12,-0.0030856102
2018-03-13,-0.0038355535
2018-03-14,-0.008673231
2018-03-15,-0.0015402243
2018-03-16,0.0026741629
2018-03-19,-0.008263263
2018-03-20,-0.011365997
2018-03-21,0.0043390836
2018-03-22,-0.024456257
2018-03-23,-0.018064236
2018-03-26,0.008363726
2018-03-27,-0.03304025
2018-03-28,0.015878433
2018-03-29,0.006570685
2018-04-02,-0.026882727
2018-04-03,0.018516686
2018-04-04,0.010914296
2018-04-05,0.0027776635
2018-04-06,-0.008997984
2018-04-09,-0.009835022
2018-04-10,0.028171722
2018-04-11,0.0035779239
2018-04-12,0.007766946
2018-04-13,-0.0040657884
2018-04-16,0.016159311
2018-04-17,-0.0064721443
2018-04-18,0.00313487
2018-04-19,-0.009528654
2018-04-20,-0.0115785515
2018-04-23,0.010064784
2018-04-24,-0.008779843
2018-04-25,0.0091347825
2018-04-26,-0.011809599
2018-04-27,0.011361157
2018-04-30,-0.018241625
2018-05-01,-0.0027919798
2018-05-02,0.009159332
2018-05-03,-0.0067237886
2018-05-04,0.0070250332
2018-05-07,-0.005242076
2018-05-08,0.0012817268
2018-05-09,0.007268559
2018-05-10,0.011806494
2018-05-11,0.009074103
2018-05-14,-0.0010242825
2018-05-15,-0.0016912147
2018-05-16,0.006046328
2018-05-17,0.004272659
