,returns
2018-01-03,0.025688648
2018-01-04,0.008949706
2018-01-05,0.0037404348
2018-01-08,0.009826805
2018-01-09,0.0042447364
2018-01-10,-0.001590498
2018-01-11,0.016379084
2018-01-12,0.012306044
2018-01-16,-0.000905282
2018-01-17,0.016417021
2018-01-18,0.021218684
2018-01-19,0.011107188
2018-01-22,-0.00040734623
2018-01-23,0.01442142
2018-01-24,-0.0033850654
2018-01-25,-0.0031813236
2018-01-26,0.010024505
2018-01-29,0.004308684
2018-01-30,-0.013035876
2018-01-31,0.025061239
2018-02-01,0.0056173736
2018-02-02,-0.010797387
2018-02-05,-0.023613628
2018-02-06,-0.008173232
2018-02-07,-0.00012352852
2018-02-08,-0.026099378
2018-02-09,0.00021914218
2018-02-12,0.016020648
2018-02-13,0.018992312
2018-02-14,0.01670655
2018-02-15,0.011021814
2018-02-16,0.0022259026
2018-02-20,0.0013456594
2018-02-21,0.0069416715
2018-02-22,0.018096004
2018-02-23,0.013290839
2018-02-26,-7.366703e-05
2018-02-27,-0.017278017
2018-02-28,-0.0035796445
2018-03-01,0.0048858607
2018-03-02,0.0073438906
2018-03-05,0.02306071
2018-03-06,0.008575173
2018-03-07,0.0018624166
2018-03-08,-0.00908437
2018-03-09,0.009642493
2018-03-12,0.0031884443
2018-03-13,-0.00056727324
2018-03-14,0.0012800989
2018-03-15,-0.0009378585
2018-03-16,0.006981015
2018-03-19,-0.010323409
2018-03-20,0.019023772
2018-03-21,-0.00077163347
2018-03-22,-0.03525823
2018-03-23,-0.0051520225
2018-03-26,0.019652931
2018-03-27,-0.025553767
2018-03-28,-0.008284648
2018-03-29,0.022481307
2018-04-02,-0.02755472
2018-04-03,0.015357999
2018-04-04,0.016691016
2018-04-05,0.01560092
2018-04-06,-0.0085609965
2018-04-09,0.004799396
2018-04-10,0.031265818
2018-04-11,0.0071184356
2018-04-12,0.002285425
2018-04-13,-0.003976087
2018-04-16,0.009554226
2018-04-17,0.014212584
2018-04-18,-0.002581635
2018-04-19,-0.0016677416
2018-04-20,-0.005796998
2018-04-23,0.0055144597
2018-04-24,-0.004972627
2018-04-25,0.00060167536
2018-04-26,0.00785536
2018-04-27,0.010656275
2018-04-30,-0.010218227
2018-05-01,0.002849868
2018-05-02,-0.0036256113
2018-05-03,-0.003608297
2018-05-04,0.0042011812
2018-05-07,0.012642075
2018-05-08,0.006996284
2018-05-09,0.010084296
2018-05-10,0.0047028526
2018-05-11,-0.00097186555
2018-05-14,-0.008337558
2018-05-15,0.0012890255
2018-05-16,0.014294187
2018-05-17,0.0025296987
2018-05-18,-0.00039365428
2018-05-21,0.002592296
2018-05-22,-0.012166878
2018-05-23,0.0021359043
2018-05-24,0.010507554
2018-05-25,-0.0005698466
2018-05-29,0.0029836446
2018-05-30,0.013475056
2018-05-31,-0.0070750182
2018-06-01,0.01174832
2018-06-04,0.009725138
2018-06-05,0.01566227
2018-06-06,0.00891083
2018-06-07,-0.002900905
2018-06-08,0.004036908
2018-06-11,0.0057995506
2018-06-12,0.006467928
2018-06-13,-0.0096871145
2018-06-14,0.0071432623
2018-06-15,0.0055049937
2018-06-18,0.0064512193
2018-06-19,-0.0016164668
2018-06-20,0.0054789237
2018-06-21,-0.004372617
2018-06-22,-0.009434038
2018-06-25,-0.0044016084
2018-06-26,-0.0038437997
2018-06-27,-0.01819279
2018-06-28,0.013817975
2018-06-29,-0.004366146
2018-07-02,0.00677701
2018-07-03,-0.0033136816
2018-07-05,0.019448908
2018-07-06,0.015448922
2018-07-09,0.0055999933
2018-07-10,0.008273795
2018-07-11,-9.08589e-05
2018-07-12,0.01298995
2018-07-13,-5.5971846e-05
2018-07-16,-0.0019466596
2018-07-17,0.011363141
2018-07-18,0.0016338034
2018-07-19,0.014149351
2018-07-20,-0.0055834185
2018-07-23,0.00070672436
2018-07-24,-0.0036928966
2018-07-25,0.023213085
2018-07-26,0.033486035
2018-07-27,-0.017008653
2018-07-30,-7.241126e-05
2018-07-31,0.011865458
2018-08-01,-0.0035557523
2018-08-02,0.011772342
2018-08-03,0.006707892
2018-08-06,0.008343046
2018-08-07,-0.0044751964
2018-08-08,0.0011883262
2018-08-09,0.0014823403
2018-08-10,-0.0017696926
2018-08-13,-0.0052038203
2018-08-14,0.014595563
2018-08-15,0.0017199354
2018-08-16,0.0052232253
2018-08-17,0.004788978
2018-08-20,0.00037059363
