,returns
2018-01-03,-0.008033377
2018-01-04,-0.00064972474
2018-01-05,0.0036388747
2018-01-08,0.0045226817
2018-01-09,-0.012039149
2018-01-10,0.0038131583
2018-01-11,0.010599512
2018-01-12,0.0070328023
2018-01-16,-0.010845162
2018-01-17,0.0077265045
2018-01-18,-0.002230282
2018-01-19,0.029318528
2018-01-22,-0.007868094
2018-01-23,0.009224491
2018-01-24,-0.007049632
2018-01-25,-0.012867455
2018-01-26,0.00806633
2018-01-29,-0.007700108
2018-01-30,-0.0065484038
2018-01-31,0.014124326
2018-02-01,-0.0075385273
2018-02-02,-0.01470557
2018-02-05,-0.037827194
2018-02-06,0.016392374
2018-02-07,0.0015019804
2018-02-08,-0.04448412
2018-02-09,0.029351912
2018-02-12,0.012826962
2018-02-13,0.0015664136
2018-02-14,0.023714487
2018-02-15,0.007327464
2018-02-16,0.0006993055
2018-02-20,-0.011357143
2018-02-21,-0.0029239517
2018-02-22,-0.003010772
2018-02-23,0.014392828
2018-02-26,0.022540417
2018-02-27,-0.020113757
2018-02-28,-0.01241158
2018-03-01,-0.006852905
2018-03-02,-0.0022253226
2018-03-05,-0.0028712165
2018-03-06,0.0020360933
2018-03-07,-0.013232654
2018-03-08,0.013873626
2018-03-09,0.019571826
2018-03-12,0.0048968275
2018-03-13,-0.0031742514
2018-03-14,-0.0039459397
2018-03-15,0.0035307049
2018-03-16,0.0007469817
2018-03-19,-0.0038932967
2018-03-20,0.0029246071
2018-03-21,-0.019652743
2018-03-22,-0.023621343
2018-03-23,-0.0015461886
2018-03-26,0.019675931
2018-03-27,-0.0045064297
2018-03-28,-0.009793972
2018-03-29,0.016411265
2018-04-02,-0.031096252
2018-04-03,0.021782424
2018-04-04,0.019688182
2018-04-05,0.0136115365
2018-04-06,-0.027246663
2018-04-09,-0.0026967998
2018-04-10,0.0063381023
2018-04-11,-0.003929056
2018-04-12,0.011440361
2018-04-13,-0.0020717385
2018-04-16,-0.00022620405
2018-04-17,0.008360238
2018-04-18,-0.004740187
2018-04-19,-0.0071072383
2018-04-20,-0.0024010977
2018-04-23,0.0026300158
2018-04-24,-0.0029343432
2018-04-25,-0.0003954398
2018-04-26,0.012184631
2018-04-27,0.008005943
2018-04-30,-0.008322161
2018-05-01,0.0004493203
2018-05-02,-0.0035693678
2018-05-03,-0.014532056
2018-05-04,0.016025111
2018-05-07,0.011951531
2018-05-08,-0.0074551804
2018-05-09,0.0010128366
2018-05-10,0.0033314687
2018-05-11,0.0035591219
2018-05-14,0.002849008
2018-05-15,0.00437231
2018-05-16,0.0146837635
2018-05-17,-0.005237952
