,returns
2018-01-03,0.0035976158
2018-01-04,0.0071305935
2018-01-05,0.0046038935
2018-01-08,-0.0013567922
2018-01-09,0.002732519
2018-01-10,-0.0007045956
2018-01-11,0.0041498756
2018-01-12,-0.0018487459
2018-01-16,-0.0008624471
2018-01-17,0.011337554
2018-01-18,-0.0009352275
2018-01-19,0.0058592604
2018-01-22,-0.0028302183
2018-01-23,0.010712613
2018-01-24,0.016397387
2018-01-25,0.0076211058
2018-01-26,0.005531567
2018-01-29,-0.00860334
2018-01-30,-0.01604861
2018-01-31,0.0032354416
2018-02-01,0.0031519444
2018-02-02,-0.035182495
2018-02-05,-0.039337493
2018-02-06,0.010015663
2018-02-07,-0.00022048652
2018-02-08,-0.043134212
2018-02-09,0.028351886
2018-02-12,2.1951855e-05
2018-02-13,0.0027124155
2018-02-14,0.01019064
2018-02-15,-0.00067259115
2018-02-16,0.0007356655
2018-02-20,0.005712731
2018-02-21,0.0009935945
2018-02-22,-0.002808174
2018-02-23,0.003629583
2018-02-26,-0.011710993
2018-02-27,-0.012810139
2018-02-28,-0.015871676
2018-03-01,-0.013547528
2018-03-02,0.00523932
2018-03-05,0.012550223
2018-03-06,0.0065137045
2018-03-07,-0.0024454915
2018-03-08,-0.009716523
2018-03-09,0.010148772
2018-03-12,-0.00462981
2018-03-13,-0.006181558
2018-03-14,-0.011474343
2018-03-15,-0.003818106
2018-03-16,-0.00016408946
2018-03-19,-0.0022886228
2018-03-20,0.011917049
2018-03-21,0.0029894277
2018-03-22,-0.027133193
2018-03-23,-0.028679566
2018-03-26,0.016664019
2018-03-27,-0.0071312706
2018-03-28,0.0072952188
2018-03-29,0.007687301
2018-04-02,-0.02409536
2018-04-03,0.012853607
2018-04-04,0.0023115166
2018-04-05,0.010936961
2018-04-06,-0.03215692
2018-04-09,0.0075369733
2018-04-10,0.018110404
2018-04-11,-0.006475048
2018-04-12,0.009814378
2018-04-13,-0.0007377268
2018-04-16,0.012345828
2018-04-17,0.003378989
2018-04-18,0.0114247855
2018-04-19,0.0027215295
2018-04-20,-0.076606184
2018-04-23,-0.009458054
2018-04-24,-0.024519075
2018-04-25,0.0019578626
2018-04-26,0.007824611
2018-04-27,0.0005670128
2018-04-30,-0.011312047
2018-05-01,0.0049636546
2018-05-02,-0.007188968
2018-05-03,-0.024021622
2018-05-04,0.018482305
2018-05-07,0.0009605306
2018-05-08,0.00015658501
2018-05-09,-0.0023599039
2018-05-10,5.9411104e-06
2018-05-11,0.00075118523
2018-05-14,-0.0039132014
2018-05-15,0.001745468
2018-05-16,0.00012210308
2018-05-17,0.004926804
2018-05-18,0.008153738
2018-05-21,0.00489998
2018-05-22,-0.013212456
2018-05-23,-0.011049521
2018-05-24,-0.0067233583
2018-05-25,-0.0008535972
2018-05-29,-0.010697024
2018-05-30,0.01392071
2018-05-31,-0.014389503
2018-06-01,0.011119841
2018-06-04,0.008836104
2018-06-05,0.007265066
2018-06-06,0.0016758745
2018-06-07,0.004212489
2018-06-08,0.003859254
2018-06-11,0.0004676442
2018-06-12,1.2602766e-05
2018-06-13,0.004240592
2018-06-14,0.0029404964
2018-06-15,-0.0037604738
2018-06-18,-0.011397753
2018-06-19,-0.0066984417
2018-06-20,0.0072561465
2018-06-21,-0.013188548
2018-06-22,0.012781796
2018-06-25,-0.014770174
2018-06-26,0.00021269883
2018-06-27,-0.009384149
2018-06-28,-0.00058098725
2018-06-29,0.001447204
2018-07-02,0.0037206798
2018-07-03,0.0040085763
2018-07-05,0.009672511
2018-07-06,0.009721437
2018-07-09,0.013200471
2018-07-10,-0.0063939174
2018-07-11,-0.019601341
2018-07-12,-0.06221427
2018-07-13,0.0073784427
2018-07-16,-0.015193871
2018-07-17,0.022411024
2018-07-18,-0.0081595965
2018-07-19,0.0032693245
2018-07-20,-0.00616988
2018-07-23,-0.008172977
2018-07-24,0.0051111975
2018-07-25,-0.002784208
2018-07-26,0.005147072
2018-07-27,-0.0063872687
2018-07-30,0.0032720203
2018-07-31,0.012841336
2018-08-01,-0.0009966269
2018-08-02,0.0030123424
2018-08-03,-0.0006629578
2018-08-06,0.0053244056
2018-08-07,0.00021140766
2018-08-08,-0.0064395918
2018-08-09,-0.0018626726
2018-08-10,-0.011363308
2018-08-13,-0.0114750285
2018-08-14,0.0043979734
2018-08-15,-0.00780994
2018-08-16,0.0125472415
2018-08-17,0.0067574894
2018-08-20,0.002875159
2018-08-21,0.013091654
2018-08-22,-0.009538749
2018-08-23,-0.0069730906
2018-08-24,0.006414333
2018-08-27,0.0033233175
2018-08-28,-0.0015907348
2018-08-29,0.0050760526
2018-08-30,-0.008247967
2018-08-31,0.00021558465
2018-09-04,-0.019802606
2018-09-05,0.0072717625
2018-09-06,-0.00035068486
2018-09-07,-0.0021095318
2018-09-10,-0.005096763
2018-09-11,-0.0042582364
2018-09-12,0.009643886
2018-09-13,-0.0017298176
2018-09-14,0.0066856667
2018-09-17,0.0014837184
2018-09-18,0.008626472
2018-09-19,-0.00067774334
2018-09-20,0.010636104
2018-09-21,-0.0007437578
2018-09-24,-0.0020011573
2018-09-25,-0.008116516
2018-09-26,-0.012925782
2018-09-27,-0.015384525
2018-09-28,0.0050836345
2018-10-01,0.005044369
2018-10-02,-0.008237649
2018-10-03,0.0052110697
2018-10-04,0.0038075314
2018-10-05,-0.012396047
2018-10-08,0.00591364
2018-10-09,-0.015278957
2018-10-10,-0.021703213
2018-10-11,-0.035892922
2018-10-12,-0.0035829125
2018-10-15,0.0021866432
2018-10-16,0.016298313
2018-10-17,-0.004383414
2018-10-18,-0.028801108
2018-10-19,-0.0034629144
2018-10-22,-0.016986944
2018-10-23,-0.013335313
2018-10-24,-0.07152767
2018-10-25,0.00024476554
2018-10-26,-0.005098994
2018-10-29,-0.006463513
2018-10-30,0.027940433
2018-10-31,0.022255322
2018-11-01,0.043084137
2018-11-02,0.006161206
2018-11-05,0.0074587367
2018-11-06,0.010994974
2018-11-07,0.005315618
2018-11-08,0.0049511455
2018-11-09,-0.014753084
2018-11-12,-0.02454998
2018-11-13,-0.0065947124
2018-11-14,-0.0046824394
2018-11-15,0.016627334
2018-11-16,0.0044780616
2018-11-19,-0.009669045
2018-11-20,-0.019335916
2018-11-21,0.015244729
2018-11-23,-0.0033878367
2018-11-26,0.00869525
2018-11-27,-0.010313659
2018-11-28,0.025445834
2018-11-29,-0.007994907
2018-11-30,0.008861823
2018-12-03,-0.0033722902
2018-12-04,-0.049000584
2018-12-06,-0.034031726
2018-12-07,-0.031624515
2018-12-10,-0.008907961
2018-12-11,-0.0045207
2018-12-12,0.016044948
2018-12-13,-0.01375475
2018-12-14,-0.00927189
2018-12-17,-0.0151691
2018-12-18,0.0038823776
2018-12-19,0.017144304
2018-12-20,-0.014506081
2018-12-21,-0.009426348
2018-12-24,-0.004266602
2018-12-26,0.04264196
2018-12-27,0.00845381
2018-12-28,-0.0010584439
2018-12-31,0.008177521
2019-01-02,0.007281511
2019-01-03,-0.028392449
2019-01-04,0.038977917
2019-01-07,-0.002912153
2019-01-08,0.012451963
2019-01-09,0.012740052
2019-01-10,0.012179118
2019-01-11,0.0017760536
